restaurant_name,zip_code,inspection_date,score,address,facility_id,process_description,serialid
Szechuan House,78758,2014-02-14,81,"11005 BURNET RD Unit 100 AUSTIN, TX 78758 (30.394540357000437, -97.7206515909997)",10806002,1st Follow Up to Routine of 50 - 69,1
Sea Dragon,78757,2011-11-14,88,"8776 RESEARCH BLVD SB Bldg B AUSTIN, TX 78757 (30.353851738000458, -97.71564951699969)",2800134,1st Follow Up to Routine of 50 - 69,2
Daawat,78753,2014-01-29,73,"500 CANYON RIDGE DR Bunit 275 AUSTIN, TX 78753 (30.403166412000473, -97.6721713389997)",10905057,1st Follow Up to Routine of 50 - 69,3
Las Cazuelas,78702,2011-03-17,78,"1701 E CESAR CHAVEZ ST AUSTIN, TX 78702 (30.257713812000475, -97.7263995299997)",2801739,1st Follow Up to Routine of 50 - 69,4
Sagiang Restaurant,78759,2011-11-09,88,"12636 RESEARCH BLVD SB AUSTIN, TX 78759 (30.431715420000444, -97.76537252699967)",2801389,1st Follow Up to Routine of 50 - 69,5
El Meson,78741,2013-08-28,84,"5808 BURLESON RD AUSTIN, TX 78741 (30.20768553600044, -97.72101875799967)",2801979,1st Follow Up to Routine of 50 - 69,6
Korea House,78757,2013-08-27,84,"2700 W ANDERSON LN AUSTIN, TX 78757 (30.358096074000457, -97.73503861399968)",2800649,1st Follow Up to Routine of 50 - 69,7
Jim's Coffee Shop,78750,2013-02-12,86,"12832 N US 183 HWY SVRD SB AUSTIN, TX 78750 (30.43159235000047, -97.80135633599969)",2800319,1st Follow Up to Routine of 50 - 69,8
Sonic Drive In,78726,2013-02-07,80,"11506 N FM 620 RD AUSTIN, TX 78726 (30.454311585000482, -97.82703051899966)",2802126,1st Follow Up to Routine of 50 - 69,9
SV - IM Thai Cuisine,78745,2013-12-05,94,"5207 BRODIE LN Unit 200 SUNSET VALLEY, TX 78745 (30.23160350200044, -97.81887585999965)",10495246,1st Follow Up to Routine of 50 - 69,10
Twin Lion Chinese Restaurant,78759,2013-10-09,96,"4815 W BRAKER LN AUSTIN, TX 78759 (30.400682705000463, -97.7478491869997)",2800036,1st Follow Up to Routine of 50 - 69,11
Janitzio Mexican Restaurant,78705,2013-05-06,94,"600 W MARTIN LUTHER KING JR BLVD AUSTIN, TX 78705 (30.282466787000487, -97.74448309499968)",10531243,1st Follow Up to Routine of 50 - 69,12
R.C. Fowlers Bar & Grill,78750,2012-01-04,74,"12233 N FM 620 RD AUSTIN, TX 78750 (30.43159235000047, -97.80135633599969)",2802638,1st Follow Up to Routine of 50 - 69,13
La Catedral Del Marisco #2,78741,2013-07-24,79,"1605 E OLTORF ST AUSTIN, TX 78741 (30.233324449000463, -97.73952989499969)",10842202,1st Follow Up to Routine of 50 - 69,14
La Condesa Restaurant,78701,2013-04-30,84,"400 W 2ND ST Unit A AUSTIN, TX 78701 (30.265376242000457, -97.74777884599968)",10221919,1st Follow Up to Routine of 50 - 69,15
Ronald Cheng's Chinatown Downtown,78701,2013-02-22,94,"107 W 5TH ST AUSTIN, TX 78701 (30.26730397500046, -97.74377837199967)",10225925,1st Follow Up to Routine of 50 - 69,16
Senor Buddys,78736,2013-08-15,64,"8600 W US 290 HWY AUSTIN, TX 78736 (30.221933583000464, -97.95596649699968)",10155925,1st Follow Up to Routine of 50 - 69,17
TC Noodle House,78753,2011-03-08,87,"10901 N LAMAR BLVD Bunit 203 AUSTIN, TX 78753 (30.378465551000488, -97.6882935219997)",10002121,1st Follow Up to Routine of 50 - 69,18
Dragon Garden,78727,2014-01-15,82,"13717 BURNET RD Unit 450 AUSTIN, TX 78727 (30.437794994000456, -97.69867960899967)",10892671,1st Follow Up to Routine of 50 - 69,19
Sea Dragon,78757,2013-07-24,75,"8776 RESEARCH BLVD SB Bldg B AUSTIN, TX 78757 (30.353851738000458, -97.71564951699969)",2800134,1st Follow Up to Routine of 50 - 69,20
CiCi's Pizza,78741,2013-05-08,90,"2237 E RIVERSIDE DR AUSTIN, TX 78741 (30.238160394000488, -97.72596011399969)",10171088,1st Follow Up to Routine of 50 - 69,21
Holiday Inn Austin Town Lake Pecan Tree Restaurant,78701,2013-04-01,92,"20 N IH 35 SVRD SB AUSTIN, TX 78701 (30.269910351000476, -97.74363728299966)",10004208,1st Follow Up to Routine of 50 - 69,22
WL - Lupe Tortillas Mexican Restaurant,78746,2013-11-13,87,"701 S CAPITAL OF TEXAS HWY Bldg A WEST LAKE HILLS, TX 78746 (30.291909645000487, -97.82816212599965)",10805455,1st Follow Up to Routine of 50 - 69,23
Man Pasand Grocery,78749,2013-01-03,91,"3601 W WILLIAM CANNON DR Bunit 751 AUSTIN, TX 78749 (30.21446746500044, -97.83195647999969)",10339887,1st Follow Up to Routine of 50 - 69,24
Hunan Riverplace,78730,2013-06-03,74,"10601 FM 2222 RD Bldg A AUSTIN, TX 78730 (30.39351465800047, -97.8439012499997)",10208044,1st Follow Up to Routine of 50 - 69,25
La Catracha,78758,2013-07-22,68,"10500 N LAMAR BLVD AUSTIN, TX 78758 (30.373875963000444, -97.69097739399967)",10648379,1st Follow Up to Routine of 50 - 69,26
Hai Ky,78759,2013-09-03,88,"3808 SPICEWOOD SPRINGS RD AUSTIN, TX 78759 (30.364837734000446, -97.74957960999967)",10633760,1st Follow Up to Routine of 50 - 69,27
Dimassi's Mediterranean Buffet,78759,2011-10-03,83,"12636 RESEARCH BLVD SB Bunit 101 AUSTIN, TX 78759 (30.431715420000444, -97.76537252699967)",10614307,1st Follow Up to Routine of 50 - 69,28
The Pizza Bistro,78758,2014-01-13,93,"12001 BURNET RD Unit D AUSTIN, TX 78758 (30.407732702000487, -97.7139137859997)",10316325,1st Follow Up to Routine of 50 - 69,29
Villa Mexico Restaurant,78745,2013-08-23,76,"4619 S CONGRESS AVE AUSTIN, TX 78745 (30.21558436300046, -97.76853489999968)",10685082,1st Follow Up to Routine of 50 - 69,30
Perry's Steakhouse & Grill,78701,2013-05-31,81,"114 W 7TH ST AUSTIN, TX 78701 (30.269277202000467, -97.74340291399966)",10131172,1st Follow Up to Routine of 50 - 69,31
Hit The Spot Cafe,78617,2011-06-22,85,"5121 ALBERT BROWN DR DEL VALLE, TX 78617 (30.18763822000045, -97.5605478439997)",10357550,1st Follow Up to Routine of 50 - 69,32
Holiday Inn Austin Town Lake Pecan Tree Restaurant,78701,2014-02-06,78,"20 N IH 35 SVRD SB AUSTIN, TX 78701 (30.269910351000476, -97.74363728299966)",10004208,1st Follow Up to Routine of 50 - 69,33
Taqueria Arandas #5,78704,2013-03-13,90,"2448 S 1ST ST AUSTIN, TX 78704 (30.24054697900044, -97.76067634299966)",2800822,1st Follow Up to Routine of 50 - 69,34
Maggie Mae's,78701,2013-08-05,88,"323 E 6TH ST AUSTIN, TX 78701 (30.267133420000448, -97.73957727099969)",2800652,1st Follow Up to Routine of 50 - 69,35
888 Vietnamese,78741,2011-10-06,78,"2400 E OLTORF ST Unit 1-A AUSTIN, TX 78741 (30.22940405400044, -97.73032347899965)",2802966,1st Follow Up to Routine of 50 - 69,36
Holiday Inn Austin Town Lake Pecan Tree Restaurant,78701,2012-10-02,94,"20 N IH 35 SVRD SB AUSTIN, TX 78701 (30.269910351000476, -97.74363728299966)",10004208,1st Follow Up to Routine of 50 - 69,37
Zen Restaurant,78757,2011-12-21,96,"2900 W ANDERSON LN AUSTIN, TX 78757 (30.359365762000436, -97.73751758299966)",2801525,1st Follow Up to Routine of 50 - 69,38
